Region,Country,City,Organisation,Prospect Category,HQ / Primary Geography,Address / Office Location,Family / Founder / Strategic Nature,Known Sector Themes,TBP / Regional Corridor Relevance,Possible TBP Entry Point,Recommended Contact Route,Assigned Lead,Family Office Fit (20),Permanent Capital (20),Sector Alignment (20),Governance Mindset (15),Strategic Adjacency (15),Engagement Readiness (10),Total Score,Classification,Priority,Pipeline Stage,Scoring Status,Public Source URLs,Notes / Diligence Flags,Email address,Contact Email Status,Contact Email Source URLs,Contact Email Notes,Contact Enrichment Date,Source File,Alternate Names
Central Asia,Kazakhstan,Almaty / Astana,Verny Capital / Bulat Utemuratov,Private investment group / family-capital style platform,Almaty / Astana,,Private investment group / family-capital style platform,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Financial services / private capital / investment,"Leader in private investments in Kazakhstan; infrastructure, governance, philanthropy and long-term private capital relevance.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Legal/compliance review first; then adviser-led or warm-introduction route only,Tharushi / Capital Advisory Team,18,18,18,14,14,8,90,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://vernycapital.com/en/bulat-utemuratov-investor/,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Enhanced diligence | Source type: Public website / public source",info@vernycapital.com,Official/public email - verify before outreach,https://vernycapital.com/en/bulat-utemuratov-investor/,Use general office email or warm introduction; enhanced diligence for source of wealth and governance fit.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,Verny Capital
Central Asia,Kazakhstan,Astana,BI Group / Aidyn Rakhimbayev,"Investment, development, construction and education holding",Astana,,"Investment, development, construction and education holding",Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development; Financial services / private capital / investment,"City development, real estate, construction and infrastructure alignment.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Tharushi / Capital Advisory Team,16,15,19,12,13,8,83,Priority Founding Steward Prospect,Priority,Identified,Indicative scored – review required,https://bi.group/en/company,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source",ipm@bi.group,Official/public email - verify before outreach,https://bi.group/en/company,Use institutional or partnership route; verify current contact before outreach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,BI Group
Central Asia,Kazakhstan,Almaty,Lancaster Group,Diversified international holding company,Almaty,,Diversified international holding company,"Mining, infrastructure, energy, financial services","Industrial infrastructure, oil and gas services, mining, pharmaceuticals, logistics and education.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / adviser route,Tharushi / Capital Advisory Team,15,16,16,11,12,6,76,Strong Potential Prospect,Priority,Identified,Indicative scored – review required,https://lancasterholding.com/en,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source",info@lgk.kz,Official/public email - verify before outreach,https://lancasterholding.com/en,Use general office email; verify current contact before outreach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,
Central Asia,Kazakhstan,,Resmi Group,Diversified investment holding,Kazakhstan / Central Asia,,Diversified investment holding,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Financial services / private capital / investment,Diversified investment holding operating in Kazakhstan and Central Asia.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Tharushi / Capital Advisory Team,16,15,17,10,12,6,76,Strong Potential Prospect,High,Identified,Indicative scored – review required,https://kz.linkedin.com/company/group-of-companies-resmi,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",inform@resmi.kz,Official/public email - verify before outreach,https://kase.kz/en/listing/issuers/RESC/,Issuer/contact source; verify best route for capital advisory discussion.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan,Astana,AIFC Family Office Framework,Family office jurisdiction / structuring platform,Astana,,Family office jurisdiction / structuring platform,Family office services / private wealth / stewardship; Logistics / ports / trade corridors,Institutional route for structuring Central Asian single-family office conversations.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / corporate development / adviser introduction / sector forum,Tharushi / Capital Advisory Team,17,14,15,10,11,6,73,Strong Potential Prospect,Gateway,Identified,Indicative scored – review required,https://afsa.aifc.kz/aifc-introduces-family-offices-framework/,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",info@afsa.kz; consultation@afsa.kz; registration@afsa.kz; itrp@aifc.kz,Official public institutional contacts,https://afsa.aifc.kz/aifc-introduces-family-offices-framework/ | https://afsa.aifc.kz/contact-us/,"Use as jurisdiction/regulatory gateway, not a family office prospect. Route family-office framework questions through AFSA/AIFC contacts.",7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan,Almaty,Centras Group / Centras Capital,Investment and insurance group / private equity,Almaty,,Investment and insurance group / private equity,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Financial services / private capital / investment,"Investment, insurance, private equity and capital markets channel.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / investor relations / ecosystem introduction,Tharushi / Capital Advisory Team,14,15,15,10,11,6,71,Strong Potential Prospect,Channel / High,Identified,Indicative scored – review required,https://kz.linkedin.com/company/centras-capital-group,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",mail@centras.kz; marketing@centras.kz,Official/public email - verify before outreach,https://centras.kz/contacts/ | https://centras.kz/en/,Use corporate/general route; verify capital advisory contact.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan,,Ordabasy Group,Industrial investment holding,Kazakhstan,,Industrial investment holding,"Industry, agriculture, construction materials",Investment group active in strategic sectors; potential infrastructure/industrial relevance.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / regional business networks,Tharushi / Capital Advisory Team,14,13,16,10,12,5,70,Strong Potential Prospect,High,Identified,Indicative scored – review required,https://privateequitylist.com/investors/ordabasy-group,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Enhanced diligence | Source type: Public website / public source",info@ordabasy.kz,Official/public email - verify before outreach,https://privateequitylist.com/investors/ordabasy-group,Third-party/private equity source; verify official site before outreach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx; TBP_UZ-KZ_Independent_Corridor_Investor_Longlist.xlsx,
Central Asia,Kazakhstan,,EY Kazakhstan Family Office Services,Adviser / family enterprise channel,Kazakhstan,,Adviser / family enterprise channel,Family office services / private wealth / stewardship; Logistics / ports / trade corridors,"Family enterprise, succession and family office structuring adviser channel.",Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / advisory relationship / warm introduction,Tharushi / Capital Advisory Team,12,14,14,10,10,6,66,Strong Potential Prospect,Channel,Identified,Indicative scored – review required,https://www.ey.com/en_kz/services/family-enterprise/family-office,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",Contact form / EY office route; no general email captured,Official contact route only,https://www.ey.com/en_kz/services/family-enterprise/family-office | https://www.ey.com/en_kz/locations/kazakhstan,Adviser route only. Use EY office/contact forms rather than direct unsolicited personal emails.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan,,Gryphon Kazakhstan,Adviser to private families and foreign-owned groups,Kazakhstan,,Adviser to private families and foreign-owned groups,Family office services / private wealth / stewardship; Logistics / ports / trade corridors; Infrastructure / real estate / development,Focuses on private families and foreign-owned groups; logistics/infrastructure project experience.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / advisory relationship / warm introduction,Tharushi / Capital Advisory Team,12,14,14,10,10,6,66,Strong Potential Prospect,Channel,Identified,Indicative scored – review required,https://www.gryphco.com/kazakhstan,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",a.demirel@gryphco.com; roger.holland@shre.kz,Official public email - verify before outreach,https://www.gryphco.com/kazakhstan,Useful adviser/introduction channel for Kazakhstan private families and foreign-owned groups.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
Central Asia,Kazakhstan,Almaty,Moore Kazakhstan – Private Client / Family Office,Adviser / private client channel,Almaty,,Adviser / private client channel,Family office services / private wealth / stewardship; Logistics / ports / trade corridors,Private client and family office service route in Kazakhstan.,Central Asia / Middle Corridor; Uzbekistan-Kazakhstan corridor; Family Office Circle,Website / advisory relationship / warm introduction,Tharushi / Capital Advisory Team,12,14,14,10,10,6,66,Strong Potential Prospect,Channel,Identified,Indicative scored – review required,https://kazakhstan.moore-global.com/locations/almaty/,"Apply enhanced due diligence where political exposure, ownership opacity or sanctions risk may exist. | Risk level: Standard | Source type: Public website / public source | Email to verify through public website/contact route before outreach.",info@moore.kz,Official public email - verify before outreach,https://kazakhstan.moore-global.com/locations/almaty/,Adviser/channel prospect; verify appropriate family office partner before outreach.,7/1/2026,TBP_Family_Office_Generated_Lists_Fresh_Master.xlsx,
