Country,Name,Comparison Text,Family Office Fit Score,Family Office Fit Explanation,Permanent-Capital Orientation Score,Permanent-Capital Orientation Explanation,Governance & Institutional Mindset Score,Governance & Institutional Mindset Explanation,Engagement Readiness Score,Engagement Readiness Explanation,Sector Alignment Cosine,Sector Alignment Score,Strategic Adjacency Cosine,Strategic Adjacency Score,Total Score
Luxembourg,Saphir Capital Partners,"Saphir Capital Partners is a Luxembourg-domiciled private equity manager focused on value preservation and durability. It deploys capital across various control-oriented strategies including buyout, growth, restructuring, and turnaround, targeting mid-market companies in Europe. Private Equity Buyout Growth Capital Restructuring Turnaround Agri & Food Financial Services Manufacturing Industry Marketing Proptech Industrial Development Aviation Real Estate Technology",0,"Unclear - There is no explicit evidence classifying Saphir Capital Partners as a family office, private capital, HNWI, or family-controlled investment group.",8,"Ambiguous - While 'value preservation and durability' suggests some long-term focus, there is no explicit language about multi-generational or stewardship-oriented capital, and the prospect explicitly states 'Capital orientation evidence: None'.",5,"Ambiguous - The description mentions 'control-oriented strategies,' but there is no explicit governance or stewardship language, and the prospect explicitly states 'Governance evidence: None'.",0,"Unclear - There is no evidence provided for a realistic pathway to engage the prospect, as indicated by 'Engagement readiness evidence: None'.",0.2262,1.65,0.1425,5.61,20.26
Luxembourg,Stonehage Fleming,"Stonehage Fleming is a global multi-family office with a notable operation in Luxembourg. The firm assists wealthy and ultra-wealthy individuals and families with family office services, wealth planning, investments across asset classes and industries, and family governance. Multi-Family Office Services Wealth Planning Investments Real Estate Private Equity",20,"Clear - The prospect explicitly describes itself as a ""global multi-family office"".",8,"Ambiguous - There is no specific evidence provided regarding long-term, patient, multi-generational, or stewardship-oriented capital.",15,"Clear - The prospect explicitly mentions assisting with ""family governance"" for its clients.",0,Unclear - No evidence of a realistic pathway to engage the prospect is provided.,0.1787,0.0,0.0335,0.0,43.0
Luxembourg,RL Private Holding,"RL Private Holding is a privately held global investment holding company based in Luxembourg, managing a diversified portfolio across technology, private equity, and real estate. It provides steady oversight for long-term capital preservation and strategic growth. Technology Private Equity Real Estate Green Infrastructure Renewable Energy Venture Capital",14,"Reasonably Clear - The prospect is described as a 'privately held global investment holding company', strongly implying a private capital or family-controlled investment profile.",14,Reasonably Clear - The description explicitly mentions 'long-term capital preservation' but lacks specific multi-generational or stewardship language.,10,"Reasonably Clear - The phrase 'steady oversight for long-term capital preservation' suggests an institutional mindset, though explicit governance or stewardship language is absent.",0,Unclear - No engagement readiness evidence was provided for this prospect.,0.2165,0.0,0.1524,6.62,44.62
Luxembourg,Sofina S.A.,"Sofina S.A. is a Belgian family-run global investment holding company with a significant presence in Luxembourg. Anchored by a family-controlled stake, it provides patient capital and strategic advice across various future-oriented sectors. Private Equity Venture Capital Growth Capital Digital Transformation Consumer & Retail Education Healthcare Life Sciences Sustainable Supply Chains Energy Services E-commerce Industrial Platforms Finance",20,"Clear - The prospect is explicitly described as a ""family-run global investment holding company"" with a ""family-controlled stake"", fitting the family-controlled investment group profile.",14,"Reasonably Clear - The prospect explicitly mentions providing ""patient capital"", indicating long-term orientation, but lacks explicit multi-generational or stewardship language.",10,"Reasonably Clear - The prospect provides ""patient capital and strategic advice"", indicating an institutional mindset, without any red flags for speculative investment.",0,Unclear - There is no evidence provided for engagement readiness or a realistic pathway to engage.,0.2099,0.0,0.0861,0.0,44.0
Luxembourg,Luxempart,"Luxempart is a Luxembourg-based investment company with a portfolio of direct investments and investment funds across various sectors. It functions as a professional shareholder and has a long history, with a significant stake held by Sofina, a family-controlled entity. Private Equity Buyout Growth Capital Venture Capital Secondaries",14,"Reasonably Clear - A significant stake is held by Sofina, a family-controlled entity, strongly implying alignment with a family-controlled investment group profile.",8,"Ambiguous - There is no explicit language about long-term, patient, multi-generational, or stewardship-oriented capital.",10,"Reasonably Clear - The description states it functions as a ""professional shareholder,"" which indicates an institutional and governance-aware approach.",0,Unclear - No evidence of a realistic pathway to engage the prospect has been provided.,0.1172,0.0,0.0872,0.0,32.0
Luxembourg,Kulczyk Investments,"Kulczyk Investments is a single-family office based in Luxembourg, actively investing in a broad range of sectors including technology, infrastructure, industrials, and real estate. Like other Luxembourg SFOs, it likely operates with a long-term investment horizon and strong governance frameworks. AI/ML/Robotics Alternative Investments Cloud Infrastructure Consumer & Retail Consumer Products Cybersecurity Data Analytics Financial Services Food & Beverage Healthcare & Life Sciences Industrials & Manufacturing Infrastructure & Transportation Materials & Chemicals Real Estate & Construction Technology",20,"Clear - The prospect explicitly describes itself as a ""single-family office"".",8,"Ambiguous - The evidence explicitly states ""Capital orientation evidence: None"" and only offers a speculative statement about its likely operations.",5,"Ambiguous - The evidence explicitly states ""Governance evidence: None"" and only offers a speculative statement about its likely operations.",0,"Unclear - The provided evidence explicitly states ""Engagement readiness evidence: None"".",0.3823,20.0,0.1665,8.06,61.06
Luxembourg,La Mancha Holding,"La Mancha Holding is a Luxembourg-based single-family office with an investment focus on alternative investments, financial services, industrials & manufacturing, infrastructure & transportation, and technology. As an SFO in Luxembourg, it prioritizes long-term value creation and robust governance. Alternative Investments Financial Services Industrials & Manufacturing Infrastructure & Transportation Technology",20,Clear - The prospect explicitly describes itself as a Luxembourg-based single-family office.,14,Reasonably Clear - The prospect explicitly states that it prioritizes long-term value creation.,15,Clear - The prospect explicitly prioritizes robust governance.,0,Unclear - No engagement readiness evidence was provided for this prospect.,0.2548,6.51,0.1506,6.43,61.94
Luxembourg,Orascom TMT Investments,"Orascom TMT Investments is a single-family office headquartered in Luxembourg, focusing on alternative investments, financial services, industrials & manufacturing, infrastructure & transportation, and technology. It aligns with the trend of Luxembourg SFOs adopting institutional-grade practices for long-term wealth management. Alternative Investments Financial Services Industrials & Manufacturing Infrastructure & Transportation Technology",20,Clear - The prospect is explicitly described as a single-family office.,14,Reasonably Clear - The description mentions the prospect aligns with a trend of adopting practices for long-term wealth management.,10,Reasonably Clear - The prospect is described as adopting institutional-grade practices for wealth management.,0,Unclear - No engagement readiness evidence or pathway to engage was provided.,0.2771,10.31,0.2346,15.0,69.31
Luxembourg,DELTON Logistics,"DELTON Logistics is a single-family office based in Luxembourg with a primary investment focus on logistics & transportation and industrials & manufacturing. It embodies the patient capital approach characteristic of Luxembourg's family offices for sustainable, long-term investments. Logistics & Transportation Industrials & Manufacturing",20,Clear - The prospect is explicitly self-described as a single-family office.,20,"Clear - The description explicitly mentions a ""patient capital approach"" and ""long-term investments"".",10,"Reasonably Clear - The focus on ""patient capital"" and ""sustainable, long-term investments"" suggests an institutional mindset, though explicit governance language is absent.",0,Unclear - No engagement readiness evidence was provided for the prospect.,0.216,0.0,0.1571,7.1,57.1
Luxembourg,Borletti Group,"Borletti Group is a single-family office located in Luxembourg, specializing in investments in the consumer & retail and real estate & construction sectors. As a Luxembourg SFO, it is geared towards long-term asset preservation and strategic growth. Consumer & Retail Real Estate & Construction",20,Clear - The description explicitly states 'Borletti Group is a single-family office'.,14,Reasonably Clear - The group is described as 'geared towards long-term asset preservation' but lacks explicit multi-generational or stewardship language.,5,Ambiguous - There is no evidence provided regarding governance or institutional mindset.,0,Unclear - No evidence was provided for a realistic pathway to engage the prospect.,0.1284,0.0,0.0838,0.0,39.0
